intervention,n,Prolif,MHCI,HLA_E_surface,NKG2A_brake,NKG2D_L,DNAM_active,Tcell_kill,NK_kill,ImmuneKill,Senescent,Cleared,TargetState
none,0,1,0,0,0,0,0,0,0,0,0,0,0
EpiPrime,1,1,1,1,1,0,0,0,0,0,0,0,0
CDK46i,1,0,1,1,1,1,0,0,0,0,1,0,0
Diff,1,0,0,0,0,0,0,0,0,0,0,0,0
BETi,1,0,0,0,0,0,0,0,0,0,0,0,0
aPD1,1,1,0,0,0,0,0,0,0,0,0,0,0
aTIGIT,1,1,0,0,0,0,1,0,0,0,0,0,0
NKarm,1,1,0,0,0,0,0,0,0,0,0,0,0
aNKG2A,1,1,0,0,0,0,0,0,0,0,0,0,0
Tdeplete,1,1,0,0,0,0,0,0,0,0,0,0,0
EpiPrime+CDK46i,2,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+Diff,2,0,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+BETi,2,0,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+aPD1,2,1,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+aTIGIT,2,1,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+NKarm,2,1,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+aNKG2A,2,1,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+Tdeplete,2,1,1,1,1,0,0,0,0,0,0,0,0
CDK46i+Diff,2,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+BETi,2,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+aPD1,2,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+aTIGIT,2,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+NKarm,2,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+aNKG2A,2,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+Tdeplete,2,0,1,1,1,1,0,0,0,0,1,0,0
Diff+BETi,2,0,0,0,0,0,0,0,0,0,0,0,0
Diff+aPD1,2,0,0,0,0,0,0,0,0,0,0,0,0
Diff+aTIGIT,2,0,0,0,0,0,1,0,0,0,0,0,0
Diff+NKarm,2,0,0,0,0,0,0,0,0,0,0,0,0
Diff+aNKG2A,2,0,0,0,0,0,0,0,0,0,0,0,0
Diff+Tdeplete,2,0,0,0,0,0,0,0,0,0,0,0,0
BETi+aPD1,2,0,0,0,0,0,0,0,0,0,0,0,0
BETi+aTIGIT,2,0,0,0,0,0,1,0,0,0,0,0,0
BETi+NKarm,2,0,0,0,0,0,0,0,0,0,0,0,0
BETi+aNKG2A,2,0,0,0,0,0,0,0,0,0,0,0,0
BETi+Tdeplete,2,0,0,0,0,0,0,0,0,0,0,0,0
aPD1+aTIGIT,2,1,0,0,0,0,1,0,0,0,0,0,0
aPD1+NKarm,2,1,0,0,0,0,0,0,0,0,0,0,0
aPD1+aNKG2A,2,1,0,0,0,0,0,0,0,0,0,0,0
aPD1+Tdeplete,2,1,0,0,0,0,0,0,0,0,0,0,0
aTIGIT+NKarm,2,1,0,0,0,0,1,0,0,0,0,0,0
aTIGIT+aNKG2A,2,1,0,0,0,0,1,0,0,0,0,0,0
aTIGIT+Tdeplete,2,1,0,0,0,0,1,0,1,1,0,1,0
NKarm+aNKG2A,2,1,0,0,0,0,0,0,0,0,0,0,0
NKarm+Tdeplete,2,1,0,0,0,0,0,0,0,0,0,0,0
aNKG2A+Tdeplete,2,1,0,0,0,0,0,0,0,0,0,0,0
EpiPrime+CDK46i+Diff,3,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+BETi,3,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+aPD1,3,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+aTIGIT,3,0,1,1,1,1,1,0,0,0,1,0,0
EpiPrime+CDK46i+NKarm,3,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+aNKG2A,3,0,1,1,0,1,0,0,0,0,1,0,0
EpiPrime+CDK46i+Tdeplete,3,0,1,1,1,1,0,0,0,0,1,0,0
EpiPrime+Diff+BETi,3,0,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+Diff+aPD1,3,0,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+Diff+aTIGIT,3,0,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+Diff+NKarm,3,0,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+Diff+aNKG2A,3,0,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+Diff+Tdeplete,3,0,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+BETi+aPD1,3,0,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+BETi+aTIGIT,3,0,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+BETi+NKarm,3,0,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+BETi+aNKG2A,3,0,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+BETi+Tdeplete,3,0,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+aPD1+aTIGIT,3,1,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+aPD1+NKarm,3,1,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+aPD1+aNKG2A,3,1,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+aPD1+Tdeplete,3,1,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+aTIGIT+NKarm,3,1,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+aTIGIT+aNKG2A,3,1,1,1,0,0,1,0,0,0,0,0,0
EpiPrime+aTIGIT+Tdeplete,3,1,1,1,1,0,1,0,0,0,0,0,0
EpiPrime+NKarm+aNKG2A,3,1,1,1,0,0,0,0,0,0,0,0,0
EpiPrime+NKarm+Tdeplete,3,1,1,1,1,0,0,0,0,0,0,0,0
EpiPrime+aNKG2A+Tdeplete,3,1,1,1,0,0,0,0,0,0,0,0,0
CDK46i+Diff+BETi,3,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+Diff+aPD1,3,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+Diff+aTIGIT,3,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+Diff+NKarm,3,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+Diff+aNKG2A,3,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+Diff+Tdeplete,3,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+BETi+aPD1,3,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+BETi+aTIGIT,3,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+BETi+NKarm,3,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+BETi+aNKG2A,3,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+BETi+Tdeplete,3,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+aPD1+aTIGIT,3,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+aPD1+NKarm,3,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+aPD1+aNKG2A,3,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+aPD1+Tdeplete,3,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+aTIGIT+NKarm,3,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+aTIGIT+aNKG2A,3,0,1,1,0,1,1,0,1,1,1,1,1
CDK46i+aTIGIT+Tdeplete,3,0,1,1,1,1,1,0,0,0,1,0,0
CDK46i+NKarm+aNKG2A,3,0,1,1,0,1,0,0,0,0,1,0,0
CDK46i+NKarm+Tdeplete,3,0,1,1,1,1,0,0,0,0,1,0,0
CDK46i+aNKG2A+Tdeplete,3,0,1,1,0,1,0,0,0,0,1,0,0
